2025-02-20 15:09:00.127524|MouseMovement|679,814
2025-02-20 15:09:00.134316|MouseMovement|683,813
2025-02-20 15:09:00.140912|MouseMovement|690,811
2025-02-20 15:09:00.147517|MouseMovement|697,810
2025-02-20 15:09:00.154406|MouseMovement|703,809
2025-02-20 15:09:00.161675|MouseMovement|709,808
2025-02-20 15:09:00.168663|MouseMovement|715,806
2025-02-20 15:09:00.175374|MouseMovement|719,805
2025-02-20 15:09:00.182334|MouseMovement|725,804
2025-02-20 15:09:00.189169|MouseMovement|728,803
2025-02-20 15:09:00.195513|MouseMovement|730,803
2025-02-20 15:09:00.202396|MouseMovement|733,802
2025-02-20 15:09:00.209546|MouseMovement|734,802
2025-02-20 15:09:00.216335|MouseMovement|736,802
2025-02-20 15:09:00.223319|MouseMovement|738,801
2025-02-20 15:09:00.230343|MouseMovement|739,801
2025-02-20 15:09:00.236703|MouseMovement|741,801
2025-02-20 15:09:00.243677|MouseMovement|741,801
2025-02-20 15:09:00.250625|MouseMovement|742,801
2025-02-20 15:09:00.257259|MouseMovement|743,801
2025-02-20 15:09:00.264574|MouseMovement|744,801
2025-02-20 15:09:00.272006|MouseMovement|745,801
2025-02-20 15:09:00.277962|MouseMovement|746,801
2025-02-20 15:09:00.284946|MouseMovement|746,801
2025-02-20 15:09:00.291911|MouseMovement|747,801
2025-02-20 15:09:00.298623|MouseMovement|748,801
2025-02-20 15:09:00.305699|MouseMovement|749,801
2025-02-20 15:09:00.313268|MouseMovement|750,801
2025-02-20 15:09:00.320046|MouseMovement|751,801
2025-02-20 15:09:00.326214|MouseMovement|752,801
2025-02-20 15:09:00.333497|MouseMovement|753,801
2025-02-20 15:09:00.340038|MouseMovement|754,801
2025-02-20 15:09:00.347109|MouseMovement|755,801
2025-02-20 15:09:00.354465|MouseMovement|756,801
2025-02-20 15:09:00.361120|MouseMovement|757,801
2025-02-20 15:09:00.367847|MouseMovement|759,801
2025-02-20 15:09:00.374477|MouseMovement|760,801
2025-02-20 15:09:00.381643|MouseMovement|761,800
2025-02-20 15:09:00.388297|MouseMovement|763,800
2025-02-20 15:09:00.395396|MouseMovement|764,800
2025-02-20 15:09:00.402419|MouseMovement|767,799
2025-02-20 15:09:00.409340|MouseMovement|769,799
2025-02-20 15:09:00.415793|MouseMovement|772,799
2025-02-20 15:09:00.422919|MouseMovement|774,799
2025-02-20 15:09:00.429376|MouseMovement|777,798
2025-02-20 15:09:00.436376|MouseMovement|780,798
2025-02-20 15:09:00.444418|MouseMovement|783,798
